year,month,date,indicator
1902,2,Feb-02,99.0777631
1902,3,Mar-02,99.12533891
1902,4,Apr-02,99.02131594
1902,5,May-02,99.13801819
1902,6,Jun-02,98.46918249
1902,7,Jul-02,98.85193845
1902,8,Aug-02,98.9337723
1902,9,Sep-02,99.19058282
1902,10,Oct-02,99.07332905
1902,11,Nov-02,98.90884948
1902,12,Dec-02,99.01153954
1903,1,Jan-03,98.67983361
1903,2,Feb-03,98.77351363
1903,3,Mar-03,99.1292801
1903,4,Apr-03,99.61791891
1903,5,May-03,98.8273575
1903,6,Jun-03,99.66046816
1903,7,Jul-03,98.91398311
1903,8,Aug-03,98.86962881
1903,9,Sep-03,99.20449509
1903,10,Oct-03,98.86066756
1903,11,Nov-03,98.8517816
1903,12,Dec-03,99.11062268
1904,1,Jan-04,99.49541997
1904,2,Feb-04,99.75310661
1904,3,Mar-04,99.22119867
1904,4,Apr-04,99.17847353
1904,5,May-04,99.03620327
1904,6,Jun-04,99.0470196
1904,7,Jul-04,99.1510759
1904,8,Aug-04,99.51265341
1904,9,Sep-04,99.10555435
1904,10,Oct-04,98.46058151
1904,11,Nov-04,99.00835322
1904,12,Dec-04,99.13560778
1905,1,Jan-05,99.22870098
1905,2,Feb-05,99.6205956
1905,3,Mar-05,99.67600917
1905,4,Apr-05,99.03837356
1905,5,May-05,99.35243015
1905,6,Jun-05,99.06723123
1905,7,Jul-05,98.65982945
1905,8,Aug-05,98.68096574
1905,9,Sep-05,99.0531051
1905,10,Oct-05,98.94043578
1905,11,Nov-05,98.53426651
1905,12,Dec-05,99.00684345
1906,1,Jan-06,99.53672217
1906,2,Feb-06,99.08095675
1906,3,Mar-06,99.39934348
1906,4,Apr-06,99.69183486
1906,5,May-06,99.55478943
1906,6,Jun-06,99.16136098
1906,7,Jul-06,99.20847557
1906,8,Aug-06,99.41424466
1906,9,Sep-06,99.37427822
1906,10,Oct-06,99.1360968
1906,11,Nov-06,98.91502721
1906,12,Dec-06,98.62026002
1907,1,Jan-07,98.94148491
1907,2,Feb-07,99.32023873
1907,3,Mar-07,99.29606809
1907,4,Apr-07,98.80383743
1907,5,May-07,98.89105399
1907,6,Jun-07,98.51695682
1907,7,Jul-07,98.78078427
1907,8,Aug-07,99.42837993
1907,9,Sep-07,99.05395425
1907,10,Oct-07,99.12381761
1907,11,Nov-07,99.33533782
1907,12,Dec-07,98.88910444
1908,1,Jan-08,99.48139126
1908,2,Feb-08,99.14690658
1908,3,Mar-08,99.2772566
1908,4,Apr-08,99.20763444
1908,5,May-08,99.09485009
1908,6,Jun-08,98.86642574
1908,7,Jul-08,98.67376704
1908,8,Aug-08,99.04178832
1908,9,Sep-08,98.99483278
1908,10,Oct-08,99.08593265
1908,11,Nov-08,99.21292266
1908,12,Dec-08,99.58123977
1909,1,Jan-09,99.43007234
1909,2,Feb-09,99.02922417
1909,3,Mar-09,100.1024311
1909,4,Apr-09,100.213309
1909,5,May-09,99.69812554
1909,6,Jun-09,99.27632673
1909,7,Jul-09,99.5543875
1909,8,Aug-09,99.54320803
1909,9,Sep-09,99.41822144
1909,10,Oct-09,98.95968335
1909,11,Nov-09,98.80740572
1909,12,Dec-09,99.24962183
1910,1,Jan-10,99.07140413
1910,2,Feb-10,99.08466348
1910,3,Mar-10,99.43589861
1910,4,Apr-10,99.21406697
1910,5,May-10,99.1537789
1910,6,Jun-10,99.21224223
1910,7,Jul-10,99.50683411
1910,8,Aug-10,99.31214064
1910,9,Sep-10,99.23268339
1910,10,Oct-10,99.35664646
1910,11,Nov-10,99.45292467
1910,12,Dec-10,99.73314437
1911,1,Jan-11,99.48026586
1911,2,Feb-11,99.28580573
1911,3,Mar-11,99.21701804
1911,4,Apr-11,99.1544929
1911,5,May-11,98.81298886
1911,6,Jun-11,98.88220818
1911,7,Jul-11,99.1876083
1911,8,Aug-11,98.58340463
1911,9,Sep-11,99.00593785
1911,10,Oct-11,98.63951879
1911,11,Nov-11,98.89760571
1911,12,Dec-11,99.14526065
1912,1,Jan-12,99.80232912
1912,2,Feb-12,99.556935
1912,3,Mar-12,99.53591913
1912,4,Apr-12,99.04059754
1912,5,May-12,99.54698589
1912,6,Jun-12,99.05380547
1912,7,Jul-12,99.48134064
1912,8,Aug-12,98.8825666
1912,9,Sep-12,99.47020566
1912,10,Oct-12,99.44910985
1912,11,Nov-12,99.42851954
1912,12,Dec-12,99.37548906
1913,1,Jan-13,99.98874661
1913,2,Feb-13,99.84789153
1913,3,Mar-13,99.68523578
1913,4,Apr-13,100.5773121
1913,5,May-13,100.5428642
1913,6,Jun-13,99.81195972
1913,7,Jul-13,99.94356117
1913,8,Aug-13,100.3130494
1913,9,Sep-13,100.4506619
1913,10,Oct-13,99.90802901
1913,11,Nov-13,99.96781043
1913,12,Dec-13,99.5619522
1914,1,Jan-14,99.44209375
1914,2,Feb-14,99.75511393
1914,3,Mar-14,99.59591633
1914,4,Apr-14,98.9258997
1914,5,May-14,98.97949224
1914,6,Jun-14,99.42315881
1914,7,Jul-14,99.5772113
1914,8,Aug-14,99.88337022
1914,9,Sep-14,99.75129068
1914,10,Oct-14,99.67256151
1914,11,Nov-14,99.77087069
1914,12,Dec-14,99.63607916
1915,1,Jan-15,99.81106204
1915,2,Feb-15,99.67000849
1915,3,Mar-15,99.97317923
1915,4,Apr-15,99.08842129
1915,5,May-15,99.57080839
1915,6,Jun-15,99.00330452
1915,7,Jul-15,99.65724419
1915,8,Aug-15,99.29903464
1915,9,Sep-15,99.37676703
1915,10,Oct-15,99.59752549
1915,11,Nov-15,99.09868684
1915,12,Dec-15,99.56792975
1916,1,Jan-16,99.77111591
1916,2,Feb-16,99.45774334
1916,3,Mar-16,98.98049445
1916,4,Apr-16,99.01096584
1916,5,May-16,98.72727312
1916,6,Jun-16,99.05663227
1916,7,Jul-16,99.00369846
1916,8,Aug-16,100.0941049
1916,9,Sep-16,99.46227741
1916,10,Oct-16,98.86801144
1916,11,Nov-16,99.40854526
1916,12,Dec-16,99.39250181
1917,1,Jan-17,99.97568946
1917,2,Feb-17,99.7898257
1917,3,Mar-17,99.74979499
1917,4,Apr-17,99.72325339
1917,5,May-17,100.2144109
1917,6,Jun-17,99.93055932
1917,7,Jul-17,99.95391332
1917,8,Aug-17,99.87624539
1917,9,Sep-17,100.0266304
1917,10,Oct-17,101.0035262
1917,11,Nov-17,100.0554452
1917,12,Dec-17,100.2980955
1918,1,Jan-18,100.2264207
1918,2,Feb-18,100.1039282
1918,3,Mar-18,99.5097053
1918,4,Apr-18,100.34865
1918,5,May-18,99.41791881
1918,6,Jun-18,99.30320628
1918,7,Jul-18,99.96821524
1918,8,Aug-18,99.98105537
1918,9,Sep-18,99.71507068
1918,10,Oct-18,100.2230277
1918,11,Nov-18,99.97286638
1918,12,Dec-18,99.5210366
1919,1,Jan-19,99.81840224
1919,2,Feb-19,100.1912393
1919,3,Mar-19,99.78451899
1919,4,Apr-19,99.78453084
1919,5,May-19,99.85206321
1919,6,Jun-19,99.46589129
1919,7,Jul-19,99.22404286
1919,8,Aug-19,99.94652754
1919,9,Sep-19,99.85705803
1919,10,Oct-19,99.6995237
1919,11,Nov-19,99.69166317
1919,12,Dec-19,99.77039219
1920,1,Jan-20,99.56586876
1920,2,Feb-20,100.2802567
1920,3,Mar-20,99.6209095
1920,4,Apr-20,99.98561262
1920,5,May-20,99.57054161
1920,6,Jun-20,99.04905777
1920,7,Jul-20,99.20254356
1920,8,Aug-20,99.42988508
1920,9,Sep-20,99.48672392
1920,10,Oct-20,99.07035358
1920,11,Nov-20,99.49575942
1920,12,Dec-20,99.82376517
1921,1,Jan-21,100.057333
1921,2,Feb-21,100.555678
1921,3,Mar-21,100.0640615
1921,4,Apr-21,99.92192611
1921,5,May-21,99.62592348
1921,6,Jun-21,99.57036979
1921,7,Jul-21,100.1514768
1921,8,Aug-21,99.87910078
1921,9,Sep-21,99.25312258
1921,10,Oct-21,99.53540993
1921,11,Nov-21,99.40546669
1921,12,Dec-21,99.93477217
